Status,Position/Ticket,Symbol,Type,Volume,Open Price,Close Price,Pips,Duration (s),Swap,Commission,Profit,Net P/L,Magic,Comment,Open Time,Close Time
Closed,70538642,EURJPYp,BUY,0.01,187.051,187.453,40.2,7186,0,-0.04,2.52,2.48,435566513,"FXHexaFlow_1,2",2026.04.14 06:00:03,2026.04.14 07:59:49
Closed,70139968,EURJPYp,BUY,0.01,186.682,187.079,39.7,254970,0.01,-0.04,2.49,2.46,435358685,"FXHexaFlow_1,2",2026.04.11 06:01:03,2026.04.14 04:50:33
Closed,70060999,EURJPYp,BUY,0.01,186.479,186.862,38.3,27300,0,-0.04,2.4,2.36,435283936,"FXHexaFlow_1,1",2026.04.11 00:01:02,2026.04.11 07:36:02
Closed,69935280,EURJPYp,BUY,0.01,185.938,186.338,40,58640,0.01,-0.04,2.51,2.48,435129438,"FXHexaFlow_1,2",2026.04.10 06:02:03,2026.04.10 22:19:23
Closed,69396421,EURJPYp,BUY,0.01,185.033,185.433,40,21627,0.01,-0.04,2.52,2.49,434587738,"FXHexaFlow_1,2",2026.04.08 06:00:01,2026.04.08 12:00:28
Closed,69313139,EURJPYp,BUY,0.01,184.615,185.015,40,12812,0,-0.04,2.5,2.46,434511161,"FXHexaFlow_1,1",2026.04.08 00:00:09,2026.04.08 03:33:41
Closed,68577801,EURJPYp,BUY,0.01,184.159,184.568,40.9,486125,0.05,-0.04,2.56,2.57,433835990,"FXHexaFlow_1,2",2026.04.02 06:00:04,2026.04.07 21:02:09
Closed,68568894,EURJPYp,SELL,0.03,184.159,183.559,60,51252,-0.72,-0.11,11.29,10.46,433827212,"FXHexaFlow_2,5",2026.04.02 05:00:02,2026.04.02 19:14:14
Closed,68034129,EURJPYp,SELL,0.01,182.672,183.856,-118.4,144135,-0.16,-0.04,-7.45,-7.65,433218666,"FXHexaFlow_1,5",2026.03.31 05:00:02,2026.04.01 21:02:17
Closed,68305982,EURJPYp,BUY,0.01,183.443,183.844,40.1,53933,0.01,-0.04,2.53,2.5,433557218,"FXHexaFlow_1,2",2026.04.01 06:00:02,2026.04.01 20:58:55
Closed,67932049,EURJPYp,SELL,0.01,183.562,183.167,39.5,10734,0,-0.04,2.48,2.44,433096615,"FXHexaFlow_1,3",2026.03.30 22:02:08,2026.03.31 01:01:02